"Path","Action","Reason"
"C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\VS2 Ship Systems\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.20.1-Forge\VS2 Ship Systems\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.21.1-NeoForge\Adaptive Bosses\.claude\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.21.1-NeoForge\Adaptive Bosses\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Mods-1.21.1-NeoForge\Living_Villages\.claude\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Mods-1.21.1-NeoForge\Living_Villages\.claude\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\Minecraft\Omni_Framework\CLAUDE.md","skip","third-party-style"
"C:\WPAI\Gaming\Minecraft\Omni_Framework\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\Minecraft\Omni_Framework\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\TerraBlock\AGENTS.md","replace-agents-full","bak=C:\WPAI\Gaming\TerraBlock\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Gaming\TerraBlock\SOUL.md","replace-soul","bak=C:\WPAI\Gaming\TerraBlock\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\llm\SOUL.md","replace-soul","bak=C:\WPAI\llm\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\BitBurner Scripts\AI\SOUL.md","replace-soul","bak=C:\WPAI\Software\BitBurner Scripts\AI\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason\AGENTS.md","replace-agents-full","bak=C:\WPAI\Software\PyMason\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason\SOUL.md","replace-soul","bak=C:\WPAI\Software\PyMason\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-183142\AGENTS.md","replace-agents-full","bak=C:\WPAI\Software\PyMason-backup-20260713-183142\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-183142\SOUL.md","replace-soul","bak=C:\WPAI\Software\PyMason-backup-20260713-183142\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-185012\AGENTS.md","replace-agents-full","bak=C:\WPAI\Software\PyMason-backup-20260713-185012\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-185012\SOUL.md","replace-soul","bak=C:\WPAI\Software\PyMason-backup-20260713-185012\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-190910\AGENTS.md","replace-agents-full","bak=C:\WPAI\Software\PyMason-backup-20260713-190910\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-190910\SOUL.md","replace-soul","bak=C:\WPAI\Software\PyMason-backup-20260713-190910\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-191450\AGENTS.md","replace-agents-full","bak=C:\WPAI\Software\PyMason-backup-20260713-191450\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\PyMason-backup-20260713-191450\SOUL.md","replace-soul","bak=C:\WPAI\Software\PyMason-backup-20260713-191450\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\QuillForge\AGENTS.md","refresh-pointer","bak=C:\WPAI\Software\QuillForge\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\RepoForge\AGENTS.md","refresh-pointer","bak=C:\WPAI\Software\RepoForge\AGENTS.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\StudioOps\SOUL.md","replace-soul","bak=C:\WPAI\Software\StudioOps\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\StudioOps\docs\SOUL.md","replace-soul","bak=C:\WPAI\Software\StudioOps\docs\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\wpai-explorer\SOUL.md","replace-soul","bak=C:\WPAI\Software\wpai-explorer\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\XLang\SOUL.md","replace-soul","bak=C:\WPAI\Software\XLang\SOUL.md.legacy-pre-pack-20260727-205752"
"C:\WPAI\Software\YumNom\SOUL.md","replace-soul","bak=C:\WPAI\Software\YumNom\SOUL.md.legacy-pre-pack-20260727-205752"
